[2023-04-13 12:05:28] [INFO]: Iteration 03300, Cost 165.46s, triplet_loss=0.1979, triplet_hard_loss=1.1699, triplet_loss_num=53457.1406, triplet_mean_dist=1.4363, softmax_loss=2.0153, softmax_accuracy=0.6298, affine_affineMatrixloss=0.0448, affine_affineTransloss=0.0030, affine_loss_num=340.7600, affine_loss_sum=0.0451, nonOccRecMSE_occ=0.6636, nonOccRecMSE_nonOcc=0.5913, nonOccRecMSE_loss=0.5913
[2023-04-13 12:08:12] [INFO]: Iteration 03400, Cost 164.01s, triplet_loss=0.1977, triplet_hard_loss=1.1623, triplet_loss_num=53255.7695, triplet_mean_dist=1.4359, softmax_loss=2.0248, softmax_accuracy=0.6284, affine_affineMatrixloss=0.0447, affine_affineTransloss=0.0030, affine_loss_num=331.4600, affine_loss_sum=0.0450, nonOccRecMSE_occ=0.6587, nonOccRecMSE_nonOcc=0.5859, nonOccRecMSE_loss=0.5859
[2023-04-13 12:10:53] [INFO]: Iteration 03500, Cost 161.69s, triplet_loss=0.1972, triplet_hard_loss=1.1616, triplet_loss_num=52540.3789, triplet_mean_dist=1.4449, softmax_loss=2.0243, softmax_accuracy=0.6257, affine_affineMatrixloss=0.0449, affine_affineTransloss=0.0030, affine_loss_num=346.5700, affine_loss_sum=0.0452, nonOccRecMSE_occ=0.6538, nonOccRecMSE_nonOcc=0.5835, nonOccRecMSE_loss=0.5835
[2023-04-13 12:13:37] [INFO]: Iteration 03600, Cost 164.12s, triplet_loss=0.1984, triplet_hard_loss=1.1687, triplet_loss_num=50817.5938, triplet_mean_dist=1.4629, softmax_loss=1.9995, softmax_accuracy=0.6322, affine_affineMatrixloss=0.0446, affine_affineTransloss=0.0030, affine_loss_num=340.0800, affine_loss_sum=0.0449, nonOccRecMSE_occ=0.6489, nonOccRecMSE_nonOcc=0.5747, nonOccRecMSE_loss=0.5747
[2023-04-13 12:16:22] [INFO]: Iteration 03700, Cost 164.62s, triplet_loss=0.1971, triplet_hard_loss=1.1602, triplet_loss_num=50698.2500, triplet_mean_dist=1.4688, softmax_loss=1.9650, softmax_accuracy=0.6445, affine_affineMatrixloss=0.0446, affine_affineTransloss=0.0030, affine_loss_num=342.2200, affine_loss_sum=0.0449, nonOccRecMSE_occ=0.6450, nonOccRecMSE_nonOcc=0.5757, nonOccRecMSE_loss=0.5757
[2023-04-13 12:19:07] [INFO]: Iteration 03800, Cost 164.82s, triplet_loss=0.1981, triplet_hard_loss=1.1694, triplet_loss_num=50674.6602, triplet_mean_dist=1.4836, softmax_loss=1.9687, softmax_accuracy=0.6426, affine_affineMatrixloss=0.0449, affine_affineTransloss=0.0030, affine_loss_num=344.1200, affine_loss_sum=0.0452, nonOccRecMSE_occ=0.6562, nonOccRecMSE_nonOcc=0.5786, nonOccRecMSE_loss=0.5786
[2023-04-13 12:21:49] [INFO]: Iteration 03900, Cost 162.01s, triplet_loss=0.1976, triplet_hard_loss=1.1640, triplet_loss_num=50922.4531, triplet_mean_dist=1.4808, softmax_loss=1.9727, softmax_accuracy=0.6433, affine_affineMatrixloss=0.0448, affine_affineTransloss=0.0030, affine_loss_num=342.1300, affine_loss_sum=0.0451, nonOccRecMSE_occ=0.6567, nonOccRecMSE_nonOcc=0.5859, nonOccRecMSE_loss=0.5859
[2023-04-13 12:24:40] [INFO]: Iteration 04000, Cost 171.29s, triplet_loss=0.1977, triplet_hard_loss=1.1721, triplet_loss_num=49361.8594, triplet_mean_dist=1.5006, softmax_loss=1.9318, softmax_accuracy=0.6581, affine_affineMatrixloss=0.0443, affine_affineTransloss=0.0030, affine_loss_num=331.0300, affine_loss_sum=0.0447, nonOccRecMSE_occ=0.6431, nonOccRecMSE_nonOcc=0.5732, nonOccRecMSE_loss=0.5732
[2023-04-13 12:27:24] [INFO]: Iteration 04100, Cost 163.74s, triplet_loss=0.1976, triplet_hard_loss=1.1645, triplet_loss_num=50726.9805, triplet_mean_dist=1.4755, softmax_loss=1.9944, softmax_accuracy=0.6330, affine_affineMatrixloss=0.0450, affine_affineTransloss=0.0029, affine_loss_num=329.7100, affine_loss_sum=0.0453, nonOccRecMSE_occ=0.6479, nonOccRecMSE_nonOcc=0.5801, nonOccRecMSE_loss=0.5801
[2023-04-13 12:30:07] [INFO]: Iteration 04200, Cost 163.32s, triplet_loss=0.1976, triplet_hard_loss=1.1693, triplet_loss_num=49332.8008, triplet_mean_dist=1.5047, softmax_loss=1.9131, softmax_accuracy=0.6617, affine_affineMatrixloss=0.0447, affine_affineTransloss=0.0030, affine_loss_num=340.4900, affine_loss_sum=0.0450, nonOccRecMSE_occ=0.6475, nonOccRecMSE_nonOcc=0.5796, nonOccRecMSE_loss=0.5796
[2023-04-13 12:32:46] [INFO]: Iteration 04300, Cost 158.91s, triplet_loss=0.1973, triplet_hard_loss=1.1654, triplet_loss_num=47278.7617, triplet_mean_dist=1.5206, softmax_loss=1.9063, softmax_accuracy=0.6620, affine_affineMatrixloss=0.0453, affine_affineTransloss=0.0030, affine_loss_num=339.8100, affine_loss_sum=0.0456, nonOccRecMSE_occ=0.6411, nonOccRecMSE_nonOcc=0.5747, nonOccRecMSE_loss=0.5747
